RESULTADOS_CONVOCATORIA;CÓDIGO DE GRUPO;NOMBRE DEL GRUPO;LÍDER DEL GRUPO;GRUPO RECONOCIDO;GRUPO INSCRITO PARA MEDICIÓN;CLASIFICACIÓN DEL GRUPO
2013 - Convocatoria 640 - 2013;COL0000659;INVEMAR ARRECIFES CORALINOS;RAÚL NAVAS CAMACHO;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000677;ASEGURAMIENTO DE LA CALIDAD DE ALIMENTOS Y DESARROLLO DE NUEVOS PRODUCTOS;JAIRO HUMBERTO LÓPEZ VARGAS;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000677;ASEGURAMIENTO DE LA CALIDAD DE ALIMENTOS Y DESARROLLO DE NUEVOS PRODUCTOS;JAIRO HUMBERTO LÓPEZ VARGAS;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000677;ASEGURAMIENTO DE LA CALIDAD DE ALIMENTOS Y DESARROLLO DE NUEVOS PRODUCTOS;MARTHA CECILIA QUICAZÁN DE CUENCA;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000677;ASEGURAMIENTO DE LA CALIDAD DE ALIMENTOS Y DESARROLLO DE NUEVOS PRODUCTOS;MARTHA CECILIA QUICAZÁN DE CUENCA;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000677;ASEGURAMIENTO DE LA CALIDAD DE ALIMENTOS Y DESARROLLO DE NUEVOS PRODUCTOS;MARTHA CECILIA QUICAZÁN DE CUENCA;Si;;B
2019 - Convocatoria 833 - 2018;COL0000686;PSICOLOGÍA ORGANIZACIONAL Y DEL TRABAJO;ERICO RENTERÍA PÉREZ;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000686;PSICOLOGÍA ORGANIZACIONAL Y DEL TRABAJO;ERICO RENTERÍA PÉREZ;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000686;PSICOLOGÍA ORGANIZACIONAL Y DEL TRABAJO;ERICO RENTERÍA PÉREZ;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000686;PSICOLOGÍA ORGANIZACIONAL Y DEL TRABAJO;ERICO RENTERÍA PÉREZ;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000686;PSICOLOGÍA ORGANIZACIONAL Y DEL TRABAJO;ERICO RENTERÍA PÉREZ;Si;;B
2013 - Convocatoria 640 - 2013;COL0000695;GRUPO DE ASTRONOMÍA GALÁCTICA, GRAVITACIÓN Y COSMOLOGÍA;GIOVANNI PINZON ESTRADA;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000695;GRUPO DE ASTRONOMÍA GALÁCTICA, GRAVITACIÓN Y COSMOLOGÍA;LEONARDO CASTAÑEDA COLORADO;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0000719;BIODIVERSIDAD Y BIOTECNOLOGÍA;ANDRES ALBERTO DUQUE NIVIA;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000719;BIODIVERSIDAD Y BIOTECNOLOGÍA;ANA MARÍA LÓPEZ GUTIÉRREZ;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000719;BIODIVERSIDAD Y BIOTECNOLOGÍA;ANA MARÍA LÓPEZ GUTIÉRREZ;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000719;BIODIVERSIDAD Y BIOTECNOLOGÍA;ANA MARÍA LÓPEZ GUTIÉRREZ;Si;No;Reconocido
2013 - Convocatoria 640 - 2013;COL0000719;BIODIVERSIDAD Y BIOTECNOLOGÍA;MARTA MARULANDA ANGEL;Si;;B
2013 - Convocatoria 640 - 2013;COL0000729;BIOLOGIA MOLECULAR BIOMOLC;JOSE EUGENIO CELY FAJARDO;Si;;D
2015 - Convocatoria 693 - 2014;COL0000739;BIOLOGIA Y ECOLOGIA DE FAUNA ACUATICA;LUCENA VÁSQUEZ GAMBOA;Si;SÍ;C
2019 - Convocatoria 833 - 2018;COL0000748;BIOLOGIA, ECOLOGIA Y MANEJO DE HORMIGAS;INGE ARMBRECHT;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000748;BIOLOGIA, ECOLOGIA Y MANEJO DE HORMIGAS;INGE ARMBRECHT;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000748;BIOLOGIA, ECOLOGIA Y MANEJO DE HORMIGAS;INGE ARMBRECHT;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000748;BIOLOGIA, ECOLOGIA Y MANEJO DE HORMIGAS;PATRICIA CHACÓN DE ULLOA;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0000748;BIOLOGIA, ECOLOGIA Y MANEJO DE HORMIGAS;PATRICIA CHACÓN DE ULLOA;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000757;BIOLOGÍA DE ORGANISMOS TROPICALES (BIOTUN);MARIA ARGENIS BONILLA GÓMEZ;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000757;BIOLOGÍA DE ORGANISMOS TROPICALES (BIOTUN);MARIA ARGENIS BONILLA GÓMEZ;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0000757;BIOLOGÍA DE ORGANISMOS TROPICALES (BIOTUN);MARIA ARGENIS BONILLA GÓMEZ;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0000757;BIOLOGÍA DE ORGANISMOS TROPICALES (BIOTUN);MARIA ARGENIS BONILLA GÓMEZ;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000757;BIOLOGÍA DE ORGANISMOS TROPICALES (BIOTUN);MARIA ARGENIS BONILLA GÓMEZ;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000766;BIOLOGÍA MOLECULAR E INMUNOGENÉTICA (BIOMIGEN);PATRICIA HERNÁNDEZ RODRÍGUEZ;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000766;BIOLOGÍA MOLECULAR E INMUNOGENÉTICA (BIOMIGEN);PATRICIA HERNÁNDEZ RODRÍGUEZ;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000766;BIOLOGÍA MOLECULAR E INMUNOGENÉTICA (BIOMIGEN);PATRICIA HERNÁNDEZ RODRÍGUEZ;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000766;BIOLOGÍA MOLECULAR E INMUNOGENÉTICA (BIOMIGEN);PATRICIA HERNÁNDEZ RODRÍGUEZ;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000766;BIOLOGÍA MOLECULAR E INMUNOGENÉTICA (BIOMIGEN);PATRICIA HERNÁNDEZ RODRÍGUEZ;Si;;B
2019 - Convocatoria 833 - 2018;COL0000775;BIOLOGIA DE PLANTAS Y MICRORGANISMOS;NEYLA BENITEZ CAMPO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000775;BIOLOGIA DE PLANTAS Y MICRORGANISMOS;NEYLA BENITEZ CAMPO;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000775;BIOLOGIA DE PLANTAS Y MICRORGANISMOS;NEYLA BENITEZ CAMPO;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000775;BIOLOGIA DE PLANTAS Y MICRORGANISMOS;ENRIQUE JAVIER PEÑA SALAMANCA;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0000775;BIOLOGIA DE PLANTAS Y MICRORGANISMOS;ENRIQUE JAVIER PEÑA SALAMANCA;Si;;B
2017 - Convocatoria 781 - 2017;COL0000784;BIONEGOCIOS;JORGE HERNANDO MOLANO VELANDIA;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000784;BIONEGOCIOS;JORGE HERNANDO MOLANO VELANDIA;Si;SÍ;B
2019 - Convocatoria 833 - 2018;COL0000819;BIOSALUD;JORGE ENRIQUE PÉREZ CÁRDENAS;Si;Sí;C
2017 - Convocatoria 781 - 2017;COL0000819;BIOSALUD;JORGE ENRIQUE PÉREZ CÁRDENAS;Si;Sí;C
2016 - Convocatoria 737 - 2015;COL0000819;BIOSALUD;JORGE ENRIQUE PÉREZ CÁRDENAS;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000819;BIOSALUD;JORGE ENRIQUE PÉREZ CÁRDENAS;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000819;BIOSALUD;JORGE ENRIQUE PÉREZ CÁRDENAS;Si;;C
2019 - Convocatoria 833 - 2018;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;Sí;A
2019 - Convocatoria 833 - 2018;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;SÍ;A
2016 - Convocatoria 737 - 2015;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;;A1
2013 - Convocatoria 640 - 2013;COL0000828;BIOTECNOLOGÍA VEGETAL UNALMED CIB;RAFAEL EDUARDO ARANGO ISAZA;Si;;A1
2019 - Convocatoria 833 - 2018;COL0000855;BIODIVERSIDAD Y DINÁMICA DE ECOSISTEMAS TROPICALES;MIGUEL ÁNGEL QUIMBAYO CARDONA;Si;No;Reconocido
2017 - Convocatoria 781 - 2017;COL0000855;BIODIVERSIDAD Y DINÁMICA DE ECOSISTEMAS TROPICALES;MIGUEL ÁNGEL QUIMBAYO CARDONA;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0000855;BIODIVERSIDAD Y DINÁMICA DE ECOSISTEMAS TROPICALES;ROSVEN LIBARDO AREVALO FUENTES;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000855;BIODIVERSIDAD Y DINÁMICA DE ECOSISTEMAS TROPICALES;ROSVEN LIBARDO AREVALO FUENTES;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000855;BIODIVERSIDAD Y DINÁMICA DE ECOSISTEMAS TROPICALES;ROSVEN LIBARDO AREVALO FUENTES;Si;;A
2019 - Convocatoria 833 - 2018;COL0000864;BIODIVERSIDAD Y CONSERVACIÓN;JESÚS ORLANDO RANGEL CHURIO;Si;Sí;A1
2019 - Convocatoria 833 - 2018;COL0000864;BIODIVERSIDAD Y CONSERVACIÓN;JESÚS ORLANDO RANGEL CHURIO;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000864;BIODIVERSIDAD Y CONSERVACIÓN;JESÚS ORLANDO RANGEL CHURIO;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000864;BIODIVERSIDAD Y CONSERVACIÓN;JESÚS ORLANDO RANGEL CHURIO;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000864;BIODIVERSIDAD Y CONSERVACIÓN;JESÚS ORLANDO RANGEL CHURIO;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0000864;BIODIVERSIDAD Y CONSERVACIÓN;JESÚS ORLANDO RANGEL CHURIO;Si;;A1
2019 - Convocatoria 833 - 2018;COL0000873;BIODIVERSIDAD Y ECOLOGÍA APLICADA;PEDRO ESLAVA ELJAIEK;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000873;BIODIVERSIDAD Y ECOLOGÍA APLICADA;NATALIA VILLAMIZAR VILLAMIZAR;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0000873;BIODIVERSIDAD Y ECOLOGÍA APLICADA;NATALIA VILLAMIZAR VILLAMIZAR;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000873;BIODIVERSIDAD Y ECOLOGÍA APLICADA;PEDRO ESLAVA ELJAIEK;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0000873;BIODIVERSIDAD Y ECOLOGÍA APLICADA;PEDRO ESLAVA ELJAIEK;Si;;C
2017 - Convocatoria 781 - 2017;COL0000882;RESILIENCIA Y SANEAMIENTO, RESA;MARTHA CRISTINA BUSTOS LOPEZ;Si;Sí;C
2019 - Convocatoria 833 - 2018;COL0000908;BIOFÍSICA Y BIOQUÍMICA ESTRUCTURAL;JOSE ALFONSO LEYVA ROJAS;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000908;BIOFÍSICA Y BIOQUÍMICA ESTRUCTURAL;JOSE ALFONSO LEYVA ROJAS;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0000908;BIOFÍSICA Y BIOQUÍMICA ESTRUCTURAL;JOSE ALFONSO LEYVA ROJAS;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0000908;BIOFÍSICA Y BIOQUÍMICA ESTRUCTURAL;JOSE ALFONSO LEYVA ROJAS;Si;SÍ;B
2019 - Convocatoria 833 - 2018;COL0000917;BIOFÍSICA;MANU FORERO SHELTON;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000917;BIOFÍSICA;MANU FORERO SHELTON;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000917;BIOFÍSICA;MANU FORERO SHELTON;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000917;BIOFÍSICA;CHAD LEIDY;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0000917;BIOFÍSICA;CHAD LEIDY;Si;;B
2013 - Convocatoria 640 - 2013;COL0000917;BIOFÍSICA;CHAD LEIDY;Si;;B
2019 - Convocatoria 833 - 2018;COL0000926;BIOINFORMÁTICA;EMILIANO BARRETO HERNÁNDEZ;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000926;BIOINFORMÁTICA;EMILIANO BARRETO HERNÁNDEZ;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0000926;BIOINFORMÁTICA;EMILIANO BARRETO HERNÁNDEZ;Si;No;Reconocido
2015 - Convocatoria 693 - 2014;COL0000926;BIOINFORMÁTICA;EMILIANO BARRETO HERNÁNDEZ;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0000926;BIOINFORMÁTICA;EMILIANO BARRETO HERNÁNDEZ;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000935;BIOINGENIERÍA, ANÁLISIS DE SEÑALES Y PROCESAMIENTO DE IMÁGENES;LEONARDO FLÓREZ VALENCIA;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000935;BIOINGENIERÍA, ANÁLISIS DE SEÑALES Y PROCESAMIENTO DE IMÁGENES;LEONARDO FLÓREZ VALENCIA;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000935;BIOINGENIERÍA, ANÁLISIS DE SEÑALES Y PROCESAMIENTO DE IMÁGENES;PEDRO RAÚL VIZCAYA GUARÍN;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000935;BIOINGENIERÍA, ANÁLISIS DE SEÑALES Y PROCESAMIENTO DE IMÁGENES;PEDRO RAÚL VIZCAYA GUARÍN;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000935;BIOINGENIERÍA, ANÁLISIS DE SEÑALES Y PROCESAMIENTO DE IMÁGENES;PEDRO RAÚL VIZCAYA GUARÍN;Si;;B
2019 - Convocatoria 833 - 2018;COL0000944;BIOLOGIA MOLECULAR, AMBIENTAL Y CANCER;PATRICIA EUGENIA VÉLEZ VARELA;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0000944;BIOLOGIA MOLECULAR, AMBIENTAL Y CANCER;PATRICIA EUGENIA VÉLEZ VARELA;Si;SÍ;C
2013 - Convocatoria 640 - 2013;COL0000944;BIOLOGIA MOLECULAR, AMBIENTAL Y CANCER;PATRICIA EUGENIA VÉLEZ VARELA;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;ORVILLE HERNANDEZ RUIZ;Si;Sí;A1
2019 - Convocatoria 833 - 2018;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;ORVILLE HERNANDEZ RUIZ;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;SÍ;A1
2016 - Convocatoria 737 - 2015;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;;A1
2013 - Convocatoria 640 - 2013;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;;A1
2013 - Convocatoria 640 - 2013;COL0000962;BIOLOGÍA CELULAR Y MOLECULAR CIB, U. DE A. U. DEL ROSARIO;JUAN GUILLERMO MCEWEN OCHOA;Si;;A1
2013 - Convocatoria 640 - 2013;COL0000971;BIOLOGÍA MOLECULAR TEÓRICA Y EVOLUTIVA;LUIS EUGENIO ANDRADE PEREZ;No;;No reconocido_Avalado
2019 - Convocatoria 833 - 2018;COL0000989;BIOLOGÍA MOLECULAR DE VIRUS;ORLANDO ACOSTA LOSADA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0000989;BIOLOGÍA MOLECULAR DE VIRUS;ORLANDO ACOSTA LOSADA;Si;Sí;Reconocido
2016 - Convocatoria 737 - 2015;COL0000989;BIOLOGÍA MOLECULAR DE VIRUS;ORLANDO ACOSTA LOSADA;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000989;BIOLOGÍA MOLECULAR DE VIRUS;ORLANDO ACOSTA LOSADA;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0000989;BIOLOGÍA MOLECULAR DE VIRUS;ORLANDO ACOSTA LOSADA;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0000989;BIOLOGÍA MOLECULAR DE VIRUS;ORLANDO ACOSTA LOSADA;Si;;A1
2013 - Convocatoria 640 - 2013;COL0000989;BIOLOGÍA MOLECULAR DE VIRUS;ORLANDO ACOSTA LOSADA;Si;;A1
2019 - Convocatoria 833 - 2018;COL0000999;BIOLOGÍA DE NUTRIENTES;CARMIÑA LUCÍA VARGAS ZAPATA;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0000999;BIOLOGÍA DE NUTRIENTES;CARMIÑA LUCÍA VARGAS ZAPATA;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0000999;BIOLOGÍA DE NUTRIENTES;CARMIÑA LUCÍA VARGAS ZAPATA;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0000999;BIOLOGÍA DE NUTRIENTES;CARMIÑA LUCÍA VARGAS ZAPATA;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0000999;BIOLOGÍA DE NUTRIENTES;CARMIÑA LUCÍA VARGAS ZAPATA;Si;;A
2019 - Convocatoria 833 - 2018;COL0001001;GRUPO DE INVESTIGACIONES AGROINDUSTRIALES GRAIN-;LINA MARÍA VELEZ ACOSTA;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0001001;GRUPO DE INVESTIGACIONES AGROINDUSTRIALES GRAIN-;LINA MARÍA VELEZ ACOSTA;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0001001;GRUPO DE INVESTIGACIONES AGROINDUSTRIALES GRAIN-;LINA MARÍA VELEZ ACOSTA;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0001001;GRUPO DE INVESTIGACIONES AGROINDUSTRIALES GRAIN-;LINA MARÍA VELEZ ACOSTA;Si;SÍ;B
2019 - Convocatoria 833 - 2018;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;SANDRA XIMENA IBÁÑEZ CÓRDOBA;Si;Sí;B
2019 - Convocatoria 833 - 2018;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;SANDRA XIMENA IBÁÑEZ CÓRDOBA;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;GUILLERMO CHONA DUARTE;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;GUILLERMO CHONA DUARTE;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;GUILLERMO CHONA DUARTE;Si;SÍ;C
2016 - Convocatoria 737 - 2015;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;GUILLERMO CHONA DUARTE;Si;SÍ;C
2015 - Convocatoria 693 - 2014;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;GUILLERMO CHONA DUARTE;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;GUILLERMO CHONA DUARTE;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;GUILLERMO CHONA DUARTE;Si;;B
2013 - Convocatoria 640 - 2013;COL0001019;BIOLOGÍA, ENSEÑANZA Y REALIDADES;GUILLERMO CHONA DUARTE;Si;;B
2019 - Convocatoria 833 - 2018;COL0001029;BIOPROCESOS Y BIOPROSPECCIÓN;DOLLY MONTOYA CASTAÑO;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0001029;BIOPROCESOS Y BIOPROSPECCIÓN;DOLLY MONTOYA CASTAÑO;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0001029;BIOPROCESOS Y BIOPROSPECCIÓN;DOLLY MONTOYA CASTAÑO;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0001029;BIOPROCESOS Y BIOPROSPECCIÓN;DOLLY MONTOYA CASTAÑO;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0001029;BIOPROCESOS Y BIOPROSPECCIÓN;DOLLY MONTOYA CASTAÑO;Si;;B
2019 - Convocatoria 833 - 2018;COL0001048;LIBBIQ UN;MARÍA HELENA RAMÍREZ HERNÁNDEZ;Si;Sí;A
2019 - Convocatoria 833 - 2018;COL0001048;LIBBIQ UN;MARÍA HELENA RAMÍREZ HERNÁNDEZ;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0001048;LIBBIQ UN;MOISÉS WASSERMAN LERNER;Si;Sí;A
2017 - Convocatoria 781 - 2017;COL0001048;LIBBIQ UN;MOISÉS WASSERMAN LERNER;Si;Sí;A
2016 - Convocatoria 737 - 2015;COL0001048;LIBBIQ UN;MOISÉS WASSERMAN LERNER;Si;SÍ;A
2016 - Convocatoria 737 - 2015;COL0001048;LIBBIQ UN;MOISÉS WASSERMAN LERNER;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0001048;LIBBIQ UN;MOISÉS WASSERMAN LERNER;Si;SÍ;A
2015 - Convocatoria 693 - 2014;COL0001048;LIBBIQ UN;MOISÉS WASSERMAN LERNER;Si;SÍ;A
2013 - Convocatoria 640 - 2013;COL0001048;LIBBIQ UN;MOISÉS WASSERMAN LERNER;Si;;A1
2013 - Convocatoria 640 - 2013;COL0001048;LIBBIQ UN;MOISÉS WASSERMAN LERNER;Si;;A1
2019 - Convocatoria 833 - 2018;COL0001057;BIOQUÍMICA PATOLÓGICA GRUBIOPAT;JOSE LUIS VILLARREAL CAMACHO;Si;Sí;B
2017 - Convocatoria 781 - 2017;COL0001057;BIOQUÍMICA PATOLÓGICA GRUBIOPAT;JOSE LUIS VILLARREAL CAMACHO;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0001057;BIOQUÍMICA PATOLÓGICA GRUBIOPAT;JOSE LUIS VILLARREAL CAMACHO;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0001057;BIOQUÍMICA PATOLÓGICA GRUBIOPAT;JOSE LUIS VILLARREAL CAMACHO;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0001057;BIOQUÍMICA PATOLÓGICA GRUBIOPAT;JOSE LUIS VILLARREAL CAMACHO;Si;;B
2019 - Convocatoria 833 - 2018;COL0001066;CIBIMOL;ELENA STASHENKO;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0001066;CIBIMOL;ELENA STASHENKO;Si;Sí;A1
2016 - Convocatoria 737 - 2015;COL0001066;CIBIMOL;ELENA STASHENKO;Si;SÍ;A1
2015 - Convocatoria 693 - 2014;COL0001066;CIBIMOL;ELENA STASHENKO;Si;SÍ;A1
2013 - Convocatoria 640 - 2013;COL0001066;CIBIMOL;ELENA STASHENKO;Si;;A1
2013 - Convocatoria 640 - 2013;COL0001066;CIBIMOL;ELENA STASHENKO;Si;;A1
2019 - Convocatoria 833 - 2018;COL0001075;BIOTECNOLOGIA VEGETAL;RODRIGO ALBERTO HOYOS SÁNCHEZ;Si;Sí;A1
2017 - Convocatoria 781 - 2017;COL0001075;BIOTECNOLOGIA VEGETAL;RODRIGO ALBERTO HOYOS SÁNCHEZ;Si;Sí;B
2016 - Convocatoria 737 - 2015;COL0001075;BIOTECNOLOGIA VEGETAL;RODRIGO ALBERTO HOYOS SÁNCHEZ;Si;SÍ;B
2015 - Convocatoria 693 - 2014;COL0001075;BIOTECNOLOGIA VEGETAL;RODRIGO ALBERTO HOYOS SÁNCHEZ;Si;SÍ;B
2013 - Convocatoria 640 - 2013;COL0001075;BIOTECNOLOGIA VEGETAL;RODRIGO ALBERTO HOYOS SÁNCHEZ;Si;;B
2019 - Convocatoria 833 - 2018;COL0001084;BIOTECNOLOGÍA;LUCÍA ATEHORTÚA GARCÉS;Si;Sí;A1
